Observed,Trend,Seasonal,Residual
100950.0,100690.30131188482,-2.0196603127626105,261.71834842794505
100938.0,100692.56031164472,-0.61136049243296,246.05104884771654
100945.0,100694.81931140463,0.7700936903139695,249.4105949050562
100939.0,100697.07831116453,1.5288633093025177,240.39282552616876
100933.0,100699.33731092443,0.40152554574093324,233.2611635298315
100932.0,100701.59631068433,2.709758251980214,227.69393106369333
100920.0,100703.85531044424,2.4693332400941967,213.67535631566594
100916.0,100706.11431020414,2.795015610761874,207.09067418509937
100905.0,100708.37330996404,3.115261739816974,193.5114282961454
100902.0,100710.63230972395,4.388662231288306,186.97902804476067
100860.0,100712.89130948385,0.9566935952420392,146.15199692090806
100846.0,100715.15030924375,1.4372752947682033,129.41241546148302
100839.0,100717.40930900366,2.0391992761732807,119.55149172016452
100847.0,100719.66830876356,3.2995125193220938,124.03217871711684
100785.0,100721.92730852346,0.76801368193451,62.304677794605546
100788.0,100724.18630828336,1.561279945218161,62.25241177142303
100759.0,100726.44530804327,1.4027341279648522,31.151957828762914
100771.0,100728.70430780317,2.6627118006465818,39.63298039618231
100725.0,100730.96330756307,0.6701391377558572,-6.633446700825832
100716.0,100733.22230732298,0.38783493124059243,-17.61014225422399
100699.0,100735.48130708288,1.6503629394907722,-38.13167002237304
100700.0,100737.74030684278,1.4577902766011022,-39.19809711938224
100694.0,100739.9993066027,2.98937868753592,-48.98868529023048
100736.0,100742.2583063626,1.6210488946785868,-7.879355257272017
100723.0,100744.51730612249,1.1092988963020993,-22.6266050187944
100720.0,100770.29000000001,-0.3856517380063959,-49.904348262001754
100714.0,100768.07,0.1781996133442475,-54.24819961335123
100721.0,100766.43,1.6238077214524345,-47.05380772144545
100719.0,100765.43,-0.3025436298988581,-46.12745637009416
100718.0,100764.82,1.3767806944247347,-48.19678069443172
100704.0,100764.3,-0.14909768395237727,-60.150902316050534
100716.0,100763.91,-1.0880841704387731,-46.821915829564716
100705.0,100763.71,-1.3798409271979408,-57.33015907280846
100704.0,100763.81,-1.8398409271959864,-57.970159072801685
100689.0,100764.15000000001,-1.6344355217894404,-73.51556447821929
100709.0,100764.93000000001,-2.4730841704398276,-53.45691582956774
100680.0,100766.04,-1.562813900168566,-84.47718609982503
100713.0,100767.32999999999,-1.7868679542222503,-52.54313204576494
100697.0,100768.62,-0.802138224493665,-70.81786177550168
100704.0,100770.27,-1.9296382244926504,-64.34036177551143
100718.0,100772.23,-0.09153011638537212,-54.138469883610554
100705.0,100774.16999999998,-2.9470706569260776,-66.22292934305763
100708.0,100775.91000000002,-3.6349760623314675,-64.27502393768658
100701.0,100777.89000000001,-2.1738949812493678,-74.71610501876461
100718.0,100780.94999999998,-2.28909768395268,-60.660902316029855
100720.0,100784.36999999998,-1.6293003866557172,-62.74069961332508
100721.0,100787.42,-3.4877463326017812,-62.93225366739647
