,Mean,Standard Deviation,Mode
seq,3694.687727333962,2126.863458190496,2542.0
timestamp_ms,209046.67964434865,42580.84051963301,177453.0
red,40766.81422605416,253.11166521066136,41017.0
ir,100317.87053751852,535.3990456166614,100373.0
red_corrected,7.390210013311154,88.54466187342783,-232.52998372532863
ir_corrected,-22.08882114909417,186.45723583637232,-681.463413295289
